Index,Quality,Angle (degrees),Distance (mm)
0,15,220.71875,537.5
0,15,221.9375,540.75
0,15,223.453125,534.5
0,15,224.78125,526.25
0,15,226.203125,525.5
0,15,229.421875,501.5
0,15,230.875,491.25
0,15,232.140625,486.0
0,15,233.671875,480.0
0,15,235.25,472.0
0,15,244.953125,338.25
0,15,246.609375,336.25
0,15,247.828125,338.5
0,15,249.21875,343.0
0,15,250.609375,347.75
0,15,251.453125,353.0
0,15,252.8125,359.0
0,15,254.328125,365.25
0,15,255.640625,372.0
0,15,263.859375,417.25
0,15,269.25,441.5
0,15,270.53125,431.25
0,15,272.0625,428.75
0,15,273.546875,431.75
0,15,277.546875,454.5
0,15,279.0,455.0
0,15,313.015625,214.5
0,15,314.421875,208.25
0,15,315.828125,202.75
0,15,317.25,197.25
0,15,318.65625,192.5
0,15,320.0625,188.25
0,15,321.46875,184.25
0,15,322.875,181.0
0,15,327.1875,283.0
0,15,329.0,276.75
0,15,330.859375,270.25
0,15,332.953125,264.75
0,15,334.84375,260.75
0,15,334.734375,258.25
0,15,337.671875,257.5
0,15,338.34375,257.0
0,15,339.5625,257.0
0,15,341.9375,257.75
0,15,342.21875,259.0
0,15,344.484375,258.75
0,15,344.578125,257.0
0,15,347.34375,255.25
0,15,349.34375,253.75
0,15,349.578125,251.75
0,15,351.578125,248.75
0,15,353.828125,246.0
0,15,354.953125,244.75
0,15,355.4375,244.0
1,15,356.90625,243.0
1,15,358.421875,242.25
1,15,359.546875,240.75
1,15,0.546875,239.25
1,15,2.25,238.5
1,15,4.15625,238.25
1,15,6.640625,237.75
1,15,6.546875,237.5
1,15,7.6875,238.0
1,15,9.265625,238.5
1,15,12.265625,239.0
1,15,11.921875,239.75
1,15,13.09375,240.5
1,15,16.015625,240.75
1,15,16.890625,241.25
1,15,18.265625,242.5
1,15,19.296875,244.25
1,15,22.140625,244.75
1,15,22.3125,245.0
1,15,23.03125,247.0
1,15,25.0,249.75
1,15,25.90625,252.25
1,15,27.40625,254.0
1,15,29.015625,255.25
1,15,37.421875,272.0
1,15,48.890625,2489.75
1,15,50.25,2499.0
1,15,51.71875,2469.0
1,15,53.125,2395.75
1,15,54.578125,2332.75
1,15,56.015625,2281.0
1,15,57.421875,2222.75
1,15,58.828125,2160.5
1,15,60.25,2110.5
1,15,61.640625,2071.5
1,13,73.90625,268.75
1,13,75.28125,263.75
1,15,77.046875,261.5
1,15,77.875,259.25
1,15,79.296875,257.25
1,15,81.328125,255.5
1,15,82.25,253.75
1,15,83.78125,252.75
1,15,85.21875,252.75
1,15,86.96875,253.5
1,15,88.96875,255.25
1,15,89.765625,258.25
1,15,91.046875,260.75
1,15,102.578125,375.75
1,15,103.90625,381.25
1,15,105.53125,387.25
1,15,106.640625,391.75
1,15,108.40625,396.0
1,15,109.390625,400.5
1,15,110.90625,406.0
1,15,112.390625,411.75
1,15,113.484375,418.0
1,15,114.875,424.25
1,15,116.453125,431.0
1,15,117.625,438.0
1,15,119.078125,445.0
1,15,120.359375,453.5
1,15,121.65625,463.0
1,12,123.0625,471.5
1,15,124.3125,481.0
1,15,125.71875,492.25
1,15,126.96875,504.5
1,15,138.4375,514.25
1,15,146.453125,1363.0
1,15,147.828125,1348.75
1,15,149.265625,1361.5
1,15,150.625,1376.25
1,15,152.09375,1379.25
1,15,156.515625,1205.25
1,15,157.828125,1193.25
1,15,159.25,1193.5
1,15,160.671875,1190.75
1,15,162.0625,1181.75
1,15,163.484375,1171.5
1,15,164.90625,1155.75
1,15,166.359375,1135.25
1,15,167.765625,1114.25
1,15,169.296875,1091.25
1,15,172.03125,1162.0
1,15,175.984375,572.5
1,15,180.5625,509.75
1,15,182.109375,509.0
1,15,183.515625,512.25
1,15,184.859375,520.0
1,15,186.390625,518.0
1,15,187.625,511.0
1,15,189.1875,512.0
1,15,190.53125,513.25
1,15,192.046875,506.0
1,15,196.21875,502.25
1,15,197.71875,506.5
1,10,200.5,500.75
1,15,220.078125,532.5
1,15,221.296875,541.5
1,15,223.03125,538.25
1,15,224.421875,527.75
1,15,225.796875,525.5
1,15,227.25,521.0
1,15,228.765625,507.5
1,15,230.296875,493.75
1,15,231.578125,487.25
1,15,233.21875,480.25
1,15,234.6875,474.0
1,15,245.78125,336.75
1,15,247.40625,337.25
1,15,248.34375,341.5
1,15,249.96875,346.0
1,15,251.0625,350.75
1,15,252.5,356.25
1,15,253.65625,362.5
1,15,254.9375,369.25
1,15,263.359375,423.0
1,15,268.765625,445.5
1,15,270.171875,434.75
1,15,271.5625,429.75
1,15,273.09375,430.0
1,15,274.078125,436.0
1,15,275.578125,447.0
